program_name,package_name,size,version,update_time,developer,icon_url
数字尾巴,com.funinput.digit,64.58M,4.4.4,2021-03-17,深圳市数字尾巴科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/04c0864b5e66840462bde6b2b08950345fde55456
证件照,com.uedzen.autophoto,36.51M,6.2.5,2021-02-04,无锡米谷文化传媒有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0098a4354f97af85014f2168a9116f1ac1840f060
随乐游,com.stnts.iyoucloud,36.9M,3.1.3.011,2021-03-15,湖北盛天网络技术股份有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0fe9634d946a043610eac1700047fec00d7cea87b
点购广场,cn.tfb.msshop,86.16M,5.9.0,2021-01-31,深圳市点购电子商务控股股份有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b834597ab40343fa9e879c8028e59683e041ce53
携程租车,com.ctrip.izuche,40.51M,8.29.2,2021-03-15,携程旅游网络技术（上海）有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b4de4231a902a338c749ecd6de3b6f473841e6de
会计随时学,com.zhiliaogroup.mmb,52.96M,1.6.0,2021-03-17,成都多人行科技有限责任公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0f6b425c4bfee41c238c0b474ac908905b5f26e93
一起来跳舞,com.ttx5.mi,"1,375.73M",3.9.2,2020-08-20,天津英雄互娱科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c3a4a5f566bf4407115c433767998cea3006b4f2
写小说神器,com.huabenapp.write,30.33M,6.2.17,2021-03-15,天津量子时代网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/06e64562a827dc72f76ecbd181b306534b14247a9
万年历,com.youloft.calendar,45.81M,5.2.8,2021-03-15,重庆可兰达科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/089c20c70b1ca4b74a833a8cb635283711f0dcdfc
开心运动,com.muxin.happysport,27.77M,2.8.8,2021-03-09,上海睦欣网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0872ca4f3d0c34d590b60045cd0cf1bb450f99347
万能清理大师,com.ymy001.clean,41.52M,1.8.9,2021-03-09,上海宣众网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/05723418b4e46bc07326b7257f21e90520c410b37
招财日历,com.liziyuedong.rili,19.3M,1.0.8,2021-03-15,深圳市粒子悦动科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/017135bf066ffbca947404248a5c2a04ff3407c87
美图证件照,com.junke.easyphoto,33.76M,3.5.2,2021-03-13,上海俊克网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0d2cf5dc772cf09886d50c93342c500c2c042efbc
降温宝,com.quyugongzuoshi.jinangwengongjutwo,11.67M,7.0.0,2021-01-28,北京趣娱互动科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/078e595f571054c4722e4b5a5c895c76295f68910
全球潮汐,com.globaltide,42.27M,4.2.18,2021-03-15,索罗特信息科技江苏有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/05ada43e25210857f7257ac38c6b2536f8d41a4cc
学车不,com.bjcsxq.chat.carfriend,363.72M,7.5.3.1,2021-03-15,北京创世新强科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/06cf64de06bbce39a7d663e7261898da8f240b5ec
一键卸载大师,com.quyu.uninstaller,9.87M,6.1.0,2020-08-03,北京趣娱互动科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b4b2490fe8a94545be00ab1b7103b47ec4410c74
P图大神,com.shenmeiguan.psmaster,42.88M,3.0.0.5,2021-03-08,杭州嘉狄搏众企业管理合伙企业（有限合伙）,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/05810c4e2e5ad4d232d32521ec1800dee08e0fa60
文字图片制作,com.myd.textstickertool,15.59M,1.6.5,2021-03-16,重庆萌一点科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/05eb0a4af3cae4471374257caee156d3e6de84e5d
马卡龙玩图,com.versa,91.62M,4.6.1,2021-03-16,上海懿天网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0cda97493b3354fb5940d675db41a2a6e810d84dd
照片拼接,com.jjpc.watermarkcamera,43.82M,3.6.6,2021-03-13,九江鹏成网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0e3bb5271bc699c4ceacffc51fbd545e7a8413564
网上厨房,cn.ecook,44.6M,16.1.5,2021-03-11,杭州魔厨科技,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0bffdb5365048420412ca1ab009db7aaf7363266e
书屋小说,com.lkwl.shuwu,31.07M,1.0.11,2021-03-15,厦门特玩网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0a462d4ca179147360292044a264abbad5ed7715a
方舟浏览器,com.szcx.fbrowser,11.26M,1.2.5,2020-10-23,深圳市方贝科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0dcf5a47d00da433419e883e8a853c20808c081ed
简易家庭记账本,com.xiaodong.aijizhang,6.78M,34.0,2021-03-15,徐州灵科网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0327c4e23b962ccf2b113f16389d1fd799643ca40
我是谜-剧本杀,com.wzf.fan,73.31M,2.7.2,2021-01-19,上海吾声网络科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0559d94f95585424115a314ce951a5c30910c1b25
网络测速助手,com.yancheng.sppedtest,6.05M,1.6.0,2020-12-23,北京龙腾,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0adfe4532e6a5404302f530230f1468c55f5983bc
耳觅,cn.myhug.tiaoyin,54.17M,2.8.1,2021-03-15,北京星河时代信息技术有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08e527441a975460401edfc670e0e787dc033a78b
3Dbody解剖,com.HaoTuBang.H3DBodyFree,93.07M,8.5.02,2021-03-17,上海桥媒信息科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/09eec158e73134d2b3e7d53819a92b1b441c34d57
酷家乐设计师,com.qunhe.designer,53.93M,5.18.5,2021-03-18,杭州群核信息技术有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0f361951bda9c46f22449036ff1c4fcd992b5448e
全民千炮捕鱼,com.wanmei.qmqpby.mi,86.54M,6.0.4,2021-03-13,安徽玩美信息科技有限公司,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/042af55704dd6418a1330fa0bd075a41854147628
