xuhao	developer_collect
180	方正证券股份有限公司
181	广发证券股份有限公司
182	国泰君安证券股份有限公司^国泰君安证券股份有限公司（1）
183	国信证券公司^国信证券股份有限公司
184	上海大智慧信息科技有限公司^上海大智慧股份有限公司^大智慧信息技术有限公司
185	上海磐公信息科技有限公司^上海彼盈信息科技有限公司
186	上海新汇通^上海新汇通投资顾问有限公司^新浪时金（上海）信息技术有限公司^上海启见科技信息技术有限公司
187	深圳市富途网络科技有限公司^富途网络科技有限公司^小玲
188	深圳市顺恒融丰投资有限公司
189	腾讯科技（北京）有限公司
190	兴业证券股份有限公司
191	益盟股份有限公司^上海益盟软件技术股份有限公司
192	长江证劵股份有限公司^长江证券股份有限公司
193	招商证券股份有限公司
194	浙江核新同花顺网络信息股份有限公司
195	中国银河证券股份有限公司
196	中国中投证券有限责任公司^中国中金财富证券有限公司
197	中信建投证券股份有限公司
198	北京陌陌信息技术有限公司^北京陌陌科技有限公司
199	北京陌陌信息技术有限公司^北京陌陌科技有限公司
200	深圳市珍爱网信息技术有限公司
201	深圳市珍爱网信息技术有限公司
202	腾讯公司^腾讯科技（深圳）有限公司^深圳市腾讯计算机系统有限公司^深圳市腾讯科技计算机系统有限公司^腾讯科技（北京）有限公司
203	腾讯公司^腾讯科技（深圳）有限公司^深圳市腾讯计算机系统有限公司-SNG账号^深圳市腾讯计算机系统有限公司^深圳市腾讯科技计算机系统有限公司^腾讯科技（北京）有限公司
204	Facebook
205	爱聊科技^深圳市爱聊科技有限公司^深圳市微领科技有限公司
206	北京畅聊天下科技股份有限公司
207	北京老来网科技发展有限公司^湖南老来网科技发展有限公司^北京老来网
208	北京米连科技有限公司
209	北京默契破冰科技有限公司
210	北京清奇科技有限公司
211	北京淘友天下科技有限公司^北京淘友天下科技发展有限公司
212	北京瓦力网络科技有限公司^小米科技有限责任公司^北京小米通讯技术有限公司^北京小米科技有限责任公司
213	北京小川在线网络技术有限公司^北京小川科技有限公司
