region_program_name,program_name,type,support,size,version,update_date,package_name,appid,developer,private_policy,permission,icon_url
千千音乐,千千音乐-听见你的世界,影音视听,手机,18.43M,8.2.3.3,2021-03-15,com.ting.mp3.android,9180,北京音之邦文化科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0179e54a73c6b4d8538e72a1422e2baa432e8d98d
疯播直播,疯播直播,影音视听,手机,76.68M,2.4.0,2021-02-03,com.fengbo.live,577897,金华星秀文化传播有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c1d6564537b8e66fa44650e82b7f6892a541a21c
虎音小视频,虎音小视频,影音视听,手机,104.14M,6.3.7,2020-12-21,com.huyin.phonelive,1216182,河南讯丰网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02703409738bd0eb2bcf9bac06b97ad3bb04184c6
草莓视频,草莓视频,聊天社交,手机,74.34M,1.4.0,2021-02-08,com.bixinlive.com,816498,广州海浪网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/06c8ea5c8c45648590cd660b731b6988b09e1ac78
VLOG,Vlog,影音视听,手机,40.24M,1.6.5,2020-11-18,video.bianji.xiaoyun,957627,广州浩衣科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/00344642c7cb642fb16f12430c1ca8e614bcf54ed
前排视频,腾讯视频,影音视听,手机,84.53M,8.3.21.21845,2021-03-09,com.tencent.qqlive,1357,腾讯科技（北京）有限公司——视频, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08ecd48c96865847bfa480d583d21520598413bcd
沃视频,沃视频,影音视听,手机,287.55M,6.8.9,2021-02-09,com.unicom.woshipin,452028,联通视频科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0027e24f0fe1a439624eb8f467b1b36b6f91af3a6
波波视频,波波视频,影音视听,手机,33.84M,5.34.6,2021-02-04,tv.yixia.bobo,506476,炫一下（北京）科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0a3af549264a2b19bf0a2b2c6198ed04494428c4e
瓜子二手车,瓜子二手车,时尚购物,手机,40.05M,7.9.0.6,2021-02-01,com.ganji.android.haoche_c,94424,金瓜子科技发展（北京）有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08c7d4bd3a90c1d52dede99d31ca3dcf6c5405326
兔博士,兔博士,居家生活,手机,29.32M,12.10.0,2021-03-15,com.rabbit.doctor,231419,上海礼友信息技术服务有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/090f3520ab2660718bc95e5e1e38e24588542f910
周公解梦,周公解梦最新大全,实用工具,手机,83.39M,1.9.5,2020-12-28,net.zxfzgjm.android,447822,上海启贯信息技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/052cea5a12724410f19b98258a67b6c8d166af6fa
爱吾游戏宝盒,豌豆荚,实用工具,手机,14.29M,6.21.31,2020-11-24,com.wandoujia.phoenix2,2080,北京卓易讯畅科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c64cd5c0f3344e7838627106d5d3b2ca853b58b2
万达普惠,万达普惠,金融理财,手机,45.84M,4.0.4,2021-03-12,com.wdjr.loan,509882,广州万达普惠网络小额贷款有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0711c5688cf1f51f45b01c0adc34267209b4244d1
悟空优选,悟空优选,时尚购物,手机,18.88M,2.0.7,2020-01-17,com.wukongyouxuan.app,924723,厦门林多人力资源有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0ea865c1662214b90c44f5b3d7a57e5cffa40017e
网贷之家,网贷之家,新闻资讯,手机,33.06M,8.7.2,2020-12-16,com.wdzj.app,76160,上海盈讯科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c93e64ba5d86469219c0c344a090eff44ba59d1e
快易花,快易花,金融理财,手机,18.08M,1.5.2,2021-01-28,com.wanda.kuaiyihua,641849,重庆万达小额贷款有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/09b1364852a64479821a2f94d60bf3a36cc1517e0
趣制作,趣制作,摄影摄像,手机,58.6M,2.1.5,2021-01-29,com.zsyj.videomake,740485,深圳市手指游科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/069045c44ff6aec767a47215a7139554ca340edb8
魔玩助手,豌豆荚,实用工具,手机,14.29M,6.21.31,2020-11-24,com.wandoujia.phoenix2,2080,北京卓易讯畅科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c64cd5c0f3344e7838627106d5d3b2ca853b58b2
全局透明壁纸,全局透明壁纸,实用工具,手机,35.4M,1.4.1,2021-02-01,com.zsyj.trans,781471,深圳市咖咖游科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/06af83442d72e4d573ad4ae8db9bc576fffbf5664
秀来电,秀来电,实用工具,手机,28.64M,2.1.3,2021-01-14,com.phone.show,768969,合肥东晚信息科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/01a0340d74a6a61e4f23e6ff89f5791af3641d881
八门神器,八门神器,聊天社交,手机,35.55M,3.8.0,2021-01-20,com.zhangkongapp.joke.bamenshenqi,64039,长沙掌控信息科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0cd2a4203ea5177165f65f6ad86d0cb4aa74338c5
海豚手游加速器,海豚手游加速器,实用工具,手机、平板,30.61M,3.3.0207,2021-02-23,mobi.htjsq.accelerator,577814,厦门享游网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b92443afb55ff9a797e81409dcac4ad0a9435583
天气通,天气通,居家生活,手机,27.56M,7.15,2021-03-05,sina.mobile.tianqitong,283,微梦创科网络科技（中国）有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/04c81b548183d464d2824e1e7f4411aaaf0b26d0c
知味社区,中老年生活-相亲交友社交养老,聊天社交,手机,102.38M,3.8.2,2021-03-11,com.macapp.android,533194,杭州每次科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/00e695d312d4ca7cade22f29bfb9f30314c41717c
猫爪,猫爪,聊天社交,手机,32.82M,0.0.72,2021-03-12,com.xiyou.miao,914866,深圳市能饭科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/005264c690becfaa2441ac38e7f532a5fa8416382
红板报,红板报,图书阅读,手机,34.8M,5.2.3,2021-03-08,flipboard.cn,2103,凡博（北京）科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/06810744341df4fb70c9b32ce08653d60849c06e1
熊猫看书,熊猫看书,图书阅读,手机,25.32M,9.0.2.09,2021-03-15,com.nd.android.pandareader,353,北京幻想纵横网络技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/00e63158628fe49dd3fb1e344bd4bd28194b08bba
轻松筹,轻松筹,医疗健康,手机,22.25M,4.9.4,2021-03-02,com.qingsongchou.social,330895,北京轻松筹网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0de452480ec9545d100853611bfbec090427838db
小咖秀,小咖秀,影音视听,手机,7.54M,3.0.11,2020-11-20,com.yixia.xiaokaxiu,102231,炫一下（北京）科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/060ab14fe4d07425a20b413ef455a637c9084318e
网易公开课,网易公开课,学习教育,手机,35.6M,8.3.3,2021-03-05,com.netease.vopen,368,网易（杭州）网络有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/008b741bf153c219d499e8b08d33b74cd7f43cb66
会说话的汤姆猫2,会说话的汤姆猫2,儿童益智,手机,70.95M,5.3.15.574,2021-01-23,com.outfit7.talkingtom2free,493,广州金科文化科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08f0d5d88eaf806961743843d9834b190754385c0
好省,好省,时尚购物,手机,47.23M,5.0.2.0,2021-03-05,com.xiaoshijie.sqb,465518,杭州嘉洁网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b85746e18a603e3032c5d94518001fc9d6429c38
恒易贷,恒易贷,金融理财,手机,81.22M,3.7.2,2021-03-04,com.hengchang.client,444860,北京网众共创科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0d16235c9a6624e922fed274c2213b5e951942c3d
安智市场,豌豆荚,实用工具,手机,14.29M,6.21.31,2020-11-24,com.wandoujia.phoenix2,2080,北京卓易讯畅科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c64cd5c0f3344e7838627106d5d3b2ca853b58b2
借钱花吧,借钱花吧,金融理财,手机,20.7M,2.6.7,2021-01-06,com.rybring.huabei,433142,上海融宜网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/05be9536c8dc8c41fe5f07544b6d80d5c304074ff
完美校园,完美校园,学习教育,手机,58.31M,5.3.6,2021-03-06,com.newcapec.mobile.ncp,76381,完美数联(杭州)科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/08978f4fbc50e42672e905b8c10ac22dd988fe200
充多多,充多多,时尚购物,手机,14.04M,1.4.8,2021-02-01,com.recharge.many,680657,上海希幽信息科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/094e5e578320e45891c936a4e2be3a4df0f515bfb
影视大全,影视大全,影音视听,手机,51.7M,4.0.0,2021-03-15,com.le123.ysdq,62750,金华锦尚科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/071685462923cb9876ce2fdae79c605699a40c621
浅言,浅言,聊天社交,手机,67.15M,7.2.7,2021-03-05,com.zhy.qianyan,503291,上海渠杰信息科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/06b0359ce7a70747c17ae64ad157a1752b440ce15
蚂蚁短租,蚂蚁短租,旅行交通,手机,53.95M,8.0.1,2021-01-04,com.mayi.android.shortrent,25653,北京裕山阳科技发展有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/09f5c58c1f88cfe0e7529cdcd37a209ace440a393
有妖气漫画,有妖气漫画-雏蜂独家连载,图书阅读,手机,35.09M,5.6.0,2021-03-11,com.u17.comic.phone,3224,北京四月星空网络技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02f0153c89d3d5d38224d37afa0c91b0510412b9d
互助文档,互助文档,效率办公,手机,13.01M,5.17.1,2021-03-03,com.v.zy,39737,北京千阳远望信息技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/07c725af19d3090ae6336274d10158f279d428be5
拾柒,拾柒,实用工具,手机,101.5M,5.9.5,2021-01-20,com.shiqichuban.android,425719,拾柒网络技术（北京）有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0c3e74d3e909631eebebb58df0aef8b02da4333b3
快剪辑,快剪辑,摄影摄像,手机,108.83M,5.3.6.1091,2021-01-19,com.qihoo.qeditor,577500,北京奇元科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/02de8257e17214a3220801ce9cd2f9c1614d7d05b
Fit健身,Fit健身,体育运动,手机,62.34M,6.5.3,2021-02-25,com.sportq.fit,343628,上海去动网络科技有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0aab5e42ccabf45ba1347658060f4bb7fed5f9246
有信,有信,聊天社交,手机,26.37M,8.0.0,2021-03-01,com.yx,3569,深圳市有信网络技术有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/0b9a857b5522154a89dfe349cf1c2f9efd743338a
稿定设计(天天向商),稿定设计,摄影摄像,手机,111.16M,4.4.0,2021-02-07,com.hlg.daydaytobusiness,119182,厦门稿定股份有限公司, , ,http://file.market.xiaomi.com/thumbnail/PNG/l114/AppStore/033fd5c9a56af43b59bbb794560d908bcfe40a18f
